timestamp,ax,ay,az,gx,gy,gz,pressing_id
1624202,24623,32742,32764,32764,-32727,19091,7
1624214,13697,32742,32764,32764,-27918,12231,7
1624227,14409,32742,32764,32764,-29655,6549,7
1624240,20883,32742,32764,32764,-32412,817,7
1624253,32711,32742,32764,32147,-32764,2520,7
1624266,32698,32742,32764,26457,-32764,10029,7
1624278,29407,31774,32764,23496,-32764,14946,7
1624291,9214,31506,32764,32324,-19748,19541,7
1626063,-1519,-4359,-25068,7033,5941,8136,8
1626075,-1147,-5061,-27506,9285,4996,8604,8
1626088,-1661,-3787,-28466,18159,5672,9123,8
1626101,-662,-2500,-25952,22953,7157,9128,8
1626114,819,-1118,-23184,26758,8743,9757,8
1626126,1079,1331,-21086,30266,9929,12634,8
1626139,141,2407,-21264,31106,8378,14109,8
1626152,-460,4193,-21959,31996,5302,15115,8
1626165,-214,7045,-22730,32764,-1968,15260,8
1626178,753,8904,-22361,32764,-5283,14875,8
1626190,1303,12582,-17521,32764,-8104,14382,8
1626203,2912,14293,-15435,32764,-10762,12803,8
1626216,2910,15772,-14452,32764,-11224,11971,8
1626229,3086,17975,-14221,32764,-13133,9514,8
1626242,5002,19845,-13056,32764,-14387,8304,8
1626254,6182,22106,-11343,32764,-14781,7506,8
1626267,9504,26386,-7549,32764,-14968,7100,8
1626280,8955,28904,-5104,32764,-15583,7946,8
1626293,8447,31076,-2532,32764,-17443,8315,8
1626305,7517,32742,3816,32764,-22519,8053,8
1626318,5881,32742,3282,32764,-23956,7021,8
1626331,3935,32742,1955,32764,-24863,5018,8
1626344,4413,32742,4023,32764,-27030,-978,8
1626358,7811,32742,8143,32764,-26413,-3757,8
1626371,9065,32742,12677,32764,-17186,-4606,8
1626383,8239,32742,16449,32764,-16671,-2884,8
1626396,6492,32742,27301,32764,-21128,-844,8
1626409,8235,32742,32764,32764,-28686,1111,8
1626422,7436,32742,32764,32764,-27919,1748,8
1626435,5766,32742,32764,32764,-25560,1130,8
1626447,6105,32742,32764,32764,-23813,-4239,8
1626461,11734,32742,32764,32764,-25978,-7755,8
1626473,24859,32742,32764,32764,-27317,-8297,8
1626486,26919,32742,32764,32764,-25020,-4416,8
1626499,24507,32742,32764,32764,-21715,732,8
1626511,17919,32742,32764,29079,-14787,7497,8
1626524,13356,31657,32764,23090,-9506,8844,8
1626537,10322,27549,32764,16879,-4770,9428,8
1626550,4560,23277,32764,11226,3017,8189,8
1626562,4073,23381,32764,9618,4370,6360,8
1626575,4437,22509,32764,7634,4100,4341,8
1626588,7034,20399,32593,1221,2434,1138,8
1626601,8352,19191,30893,-2272,2671,250,8
1626614,9059,17998,28900,-4972,3576,-176,8
1627599,-12908,1855,-25691,19415,9002,4095,9
1627611,-14296,5338,-27410,24791,10209,3691,9
1627624,-11276,12422,-28426,32708,10414,2710,9
1627637,-11981,15634,-31102,32764,11860,2715,9
1627650,-14018,22587,-32700,32764,11472,2298,9
1627663,-12953,27110,-30203,32764,5963,-987,9
1627675,-10916,31048,-27919,32764,4345,-3823,9
1627689,-3928,32742,-26612,32764,2149,-9903,9
1627701,4145,32742,-24971,32764,-527,-11803,9
1627714,12020,32742,-22574,32764,-3207,-11800,9
1627727,18462,32742,-18261,32764,-6522,-7195,9
1627739,16729,32742,-15407,32764,-7907,-4425,9
1627752,14769,32742,-12921,32764,-9781,-3168,9
1627765,13886,32742,-2629,32764,-11695,-4496,9
